Sun Oct 14 14:09:38 2018    profiling.txt

         11793505 function calls (11619950 primitive calls) in 79.280 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1159/1    0.091    0.000   79.312   79.312 {built-in method builtins.exec}
        1    0.000    0.000   79.312   79.312 src/main.py:7(<module>)
        1    0.000    0.000   75.026   75.026 src/main.py:18(main)
        1    0.022    0.022   74.910   74.910 src/SDNN_cuda.py:407(train_SDNN)
      275   13.018    0.047   63.242    0.230 src/SDNN_cuda.py:327(train_step)
76010/47409    0.187    0.000   25.881    0.001 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/devices.py:209(_require_cuda_context)
     3839    0.175    0.000   22.631    0.006 src/SDNN_cuda.py:678(convolution)
   115366   20.287    0.000   20.590    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/driver.py:284(safe_cuda_api_call)
    58498    0.293    0.000   16.650    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/devicearray.py:623(auto_device)
    28601    0.073    0.000   16.257    0.001 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/api.py:71(to_device)
    29897    0.147    0.000   12.050    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/devicearray.py:594(from_array_like)
    29897    0.565    0.000   11.904    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/devicearray.py:64(__init__)
     3839    0.127    0.000   10.277    0.003 src/SDNN_cuda.py:694(lateral_inh)
   115694    9.469    0.000    9.469    0.000 {built-in method numpy.core.multiarray.array}
    17512    0.101    0.000    8.944    0.001 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/devicearray.py:207(copy_to_host)
    17512    0.073    0.000    8.835    0.001 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/driver.py:1761(device_to_host)
      275    0.527    0.002    7.552    0.027 src/DoG_filt_cuda.py:34(DoG_filter)
    29897    0.376    0.000    7.359    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/driver.py:689(memalloc)
    29897    0.035    0.000    6.034    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/driver.py:671(_attempt_allocation)
    29897    0.099    0.000    5.999    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/driver.py:692(allocator)
     8110    0.061    0.000    5.540    0.001 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/compiler.py:483(__call__)
     8110    0.142    0.000    5.342    0.001 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/compiler.py:540(_kernel_call)
    27737    0.036    0.000    5.088    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numpy/core/numeric.py:556(ascontiguousarray)
59786/29896    0.136    0.000    4.355    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/utils.py:566(__call__)
